Responsedate,Name,Account Name,Email,Attendee Type,Campaign Name,Adhoc SFDC Account - ID,Adhoc SFDC Contact - ID,Program Name,Survey ID,How satisfied are you with the relevance and value of the content presented at Frontiers 2026?,Fuel for Brand Fandom Keynote,Q+A Panel with Editors,Workshop,How likely are you to apply the strategies or insights shared during Frontiers with your business?,"Based on your experience with us, how likely are you to collaborate with News
Australia in the future?",What would be the most helpful next step for your business?,What is the reason for providing the score? (Optional),What is one thing we could change or add that would have made this event more impactful for you? (optional)
2026-05-30 16:10:05,Owen Ortega,Lumen Media Group,owen.ortega@lumenmedia.com,Agency,fy26-nca-frontiers-evt-nsw-consortium-omnicom-day1-client,003w7A7hNyQnyQM,0012MKsydr6LRFM,Frontiers 2026,914897,4,5,,,4,4,,,
2026-05-30 16:05:38,Oscar Abbott,Catalyst Media Group,oscar.abbott@catalystmedia.com,Agency,fy26-nca-frontiers-evt-wa-indies-client,003MMbuxFsWhbBr,001EQv5umqlkG6S,Frontiers 2026,914618,5,5,5,5,3,4,,,More time for the workshop discussion would have been great.
2026-05-30 15:52:22,Max Keller,Northstar Media,max.keller@northstarmedia.com,Agency,fy26-nca-frontiers-evt-nsw-consortium-omnicom-day2-client,00386DLBff3GVxe,001Ee36qlJu6HN8,Frontiers 2026,914799,5,4,4,4,4,5,"No further action needed right now, thank you!",,
2026-05-30 15:11:43,Ivy Quinn,Drift Telco,ivy.quinn@drift.com.au,Client,fy26-nca-frontiers-evt-vic-indies-client,003kn650YjsnMh6,00185brszzwq615,Frontiers 2026,914856,5,4,5,,5,5,,,Better AV in the panel room - hard to hear at the back.
2026-05-30 14:57:24,Ava Chase,Lumen Media Group,ava.chase@lumenmedia.com,Agency,fy26-nca-frontiers-evt-nsw-consortium-ipg-client,003eR0M1jtHKyry,001oQeftm9hcXUK,Frontiers 2026,914820,3,5,,5,4,5,,"Loved the speaker line-up, the content was practical and easy to apply.",
2026-05-30 13:47:55,Max Frost,Brightwave Agency,max.frost@brightwavemedia.com,Agency,fy26-nca-frontiers-evt-nsw-consortium-wpp-client,003n5Op0gy7tnHL,001HgBoQEYn6Heu,Frontiers 2026,914661,5,5,,5,5,4,,,
2026-05-30 13:04:13,Noah Irwin,Everline Retail,noah.irwin@everline.com.au,Client,fy26-nca-frontiers-evt-qld-indies-client,003Bpne8wv5M3T7,0019EaOHrC4ooCt,Frontiers 2026,914514,5,3,4,5,4,5,,"Solid content overall, the workshop was the standout for our team.",
2026-05-30 12:58:52,Lily Vaughn,Lumen Media Group,lily.vaughn@lumenmedia.com,Agency,fy26-nca-frontiers-evt-nsw-indies-client,0031bcURcR3f2t3,001WnJchnQtwpEX,Frontiers 2026,915003,5,4,4,,4,4,,The networking was excellent and the format kept everyone involved.,
2026-05-30 12:55:59,Ivy Foster,Catalyst Media Group,ivy.foster@catalystmedia.com,Agency,fy26-nca-frontiers-evt-nsw-indies-client,003ao0ogXOOtirI,001ZKOzGJv9cidZ,Frontiers 2026,914539,5,5,,4,4,5,Receive a copy of the keynote deck and research whitepaper,"Useful takeaways for our planning, though I'd have liked more case studies.",
2026-05-30 12:05:57,Ethan Knox,Catalyst Media Group,ethan.knox@catalystmedia.com,Agency,fy26-nca-frontiers-evt-nsw-consortium-omnicom-day2-client,003NYI1SSGUjdxC,001wcLpiF3OVOZf,Frontiers 2026,914919,4,4,3,4,5,4,,,
2026-05-30 11:47:55,Aria Ortega,Summit Media Collective,aria.ortega@summitmedia.com,Agency,fy26-nca-frontiers-evt-vic-consortium-publicis-client,003eoI9Jd4qqlyt,001q3dRqoVNBYI1,Frontiers 2026,914581,4,4,4,4,4,5,Receive a copy of the keynote deck and research whitepaper,The networking was excellent and the format kept everyone involved.,A digital copy of all the decks shared afterwards would help.
2026-05-30 11:23:56,Nina Quinn,Frontier Auto,nina.quinn@frontier.com.au,Client,fy26-nca-frontiers-evt-nsw-indies-client,003MBez3RoQxqZy,001HTXuAUfuj5pV,Frontiers 2026,914994,4,5,4,5,5,5,"No further action needed right now, thank you!",,
2026-05-30 11:02:39,Henry Knox,Brightwave Agency,henry.knox@brightwavemedia.com,Agency,fy26-nca-frontiers-evt-nsw-consortium-wpp-client,003oOJmuyOvmWAw,001kohb1kCe1VPN,Frontiers 2026,914960,4,4,4,,4,5,,The networking was excellent and the format kept everyone involved.,
2026-05-30 10:35:18,Charlotte Brooks,Harbourline Media,charlotte.brooks@harbourlinemedia.com,Agency,fy26-nca-frontiers-evt-nsw-consortium-omnicom-day2-client,003dGhIXHF4CEay,001KfatohXEIzeH,Frontiers 2026,914508,5,4,4,,4,4,Receive a copy of the keynote deck and research whitepaper,"Well organised event, the facilitators kept the energy high throughout.",A clearer agenda sent in advance would be useful.
2026-05-30 09:36:55,Zoe Knox,Meridian Media Partners,zoe.knox@meridianmedia.com,Agency,fy26-nca-frontiers-evt-vic-indies-client,003ZKFLvtaKOma8,001KyvbWUyFZ3x2,Frontiers 2026,914838,4,5,4,4,4,4,,"Well organised event, the facilitators kept the energy high throughout.",Consider a longer networking session at the end.
2026-05-30 09:18:26,Faye Vaughn,Driftwood Media,faye.vaughn@driftwoodmedia.com,Agency,fy26-nca-frontiers-evt-nsw-consortium-wpp-client,003qjuO4ngYfKEv,001CDct68j0YplR,Frontiers 2026,914862,4,5,5,,4,4,,Great atmosphere and the sessions felt relevant to our briefs this year.,More real-world case studies from brands we recognise.
2026-05-29 20:14:22,Jude Foster,Frontier Auto,jude.foster@frontier.com.au,Client,fy26-nca-frontiers-evt-nsw-indies-client,003BYB9aGDKVClR,001XA2QT152YFNA,Frontiers 2026,914758,5,4,,,4,5,,,A digital copy of all the decks shared afterwards would help.
2026-05-29 19:42:24,Sam Sutton,Harbourline Media,sam.sutton@harbourlinemedia.com,Agency,fy26-nca-frontiers-evt-nsw-indies-client,003zqZqzx8ofgdl,001F5XsSn5yKRc3,Frontiers 2026,914825,5,4,,5,4,5,,,
2026-05-29 19:20:09,Reid Palmer,Lumen Media Group,reid.palmer@lumenmedia.com,Agency,fy26-nca-frontiers-evt-sa-indies-client,003wotBzZOLV2sW,001PAFckCuw9Z3s,Frontiers 2026,914706,5,3,4,4,5,4,,Great atmosphere and the sessions felt relevant to our briefs this year.,
2026-05-29 18:37:05,Theo Vaughn,Brightwave Agency,theo.vaughn@brightwavemedia.com,Agency,fy26-nca-frontiers-evt-qld-indies-client,003FXbzavi8bkRs,001D3TmY0v8cQoZ,Frontiers 2026,914888,4,4,,5,5,4,,The networking was excellent and the format kept everyone involved.,
2026-05-29 18:27:17,Ivy Mercer,Harbourline Media,ivy.mercer@harbourlinemedia.com,Agency,fy26-nca-frontiers-evt-nsw-indies-client,00384fNFnnoYA2C,0019HsYnnsM4A8x,Frontiers 2026,914748,4,4,4,3,4,4,,,
2026-05-29 17:27:29,Leo Reeves,Coral Bank,leo.reeves@coral.com.au,Client,fy26-nca-frontiers-evt-nsw-consortium-omnicom-day2-client,003A6PTybnkct7g,001GTvxZEkCoDpB,Frontiers 2026,914886,5,5,4,5,5,5,,,Perhaps add a client or guest speaker to the panel for variety.
2026-05-29 16:32:38,Reid Sutton,Keystone Media,reid.sutton@keystonemedia.com,Agency,fy26-nca-frontiers-evt-nsw-consortium-wpp-client,003K6krkGgnZ9HX,001u45R55r6LLnP,Frontiers 2026,914674,5,4,4,3,4,3,,,
2026-05-29 16:30:28,Owen Ellis,Summit Media Collective,owen.ellis@summitmedia.com,Agency,fy26-nca-frontiers-evt-nsw-indies-client,0037zMqCCODeNxo,001sWsjTBrjAD3D,Frontiers 2026,914614,4,5,4,5,3,4,Schedule a follow-up workshop to apply today's insights,,Slightly smaller breakout groups would make the workshop easier.
2026-05-29 15:29:36,Ella Jensen,Driftwood Media,ella.jensen@driftwoodmedia.com,Agency,fy26-nca-frontiers-evt-vic-indies-client,0035vSrFOlAS6Vx,001W2edVTIUAuh2,Frontiers 2026,914849,5,5,5,5,5,5,,The keynote was engaging and the workshop tied the insights together really well.,
2026-05-29 15:16:24,Beth Chase,Banksia Foods,beth.chase@banksia.com.au,Client,fy26-nca-frontiers-evt-qld-indies-client,003WhVn1lQOjjhR,001vSIH6Te8jLsN,Frontiers 2026,914997,4,4,,4,4,4,,,Consider a longer networking session at the end.
2026-05-29 14:43:07,Beth Keller,Harbourline Media,beth.keller@harbourlinemedia.com,Agency,fy26-nca-frontiers-evt-nsw-consortium-publicis-client,003BuaxEKDNRo9Q,001Hf2AYI7c1skq,Frontiers 2026,914788,5,4,4,4,5,4,,,
2026-05-29 14:35:36,Henry Quinn,Frontier Auto,henry.quinn@frontier.com.au,Client,fy26-nca-frontiers-evt-nsw-consortium-wpp-client,003cIW8UFjaTXUh,0015Fng5nGVFa3p,Frontiers 2026,914908,5,5,4,4,4,4,,"Inspiring keynote and a productive workshop, left feeling optimistic.",Better AV in the panel room - hard to hear at the back.
2026-05-29 14:00:11,Max Abbott,Driftwood Media,max.abbott@driftwoodmedia.com,Agency,fy26-nca-frontiers-evt-nsw-consortium-wpp-client,003NYAC5U39aMD3,001H5hsGrvCsqhd,Frontiers 2026,914682,4,4,,4,5,5,Receive a copy of the keynote deck and research whitepaper,"Well organised event, the facilitators kept the energy high throughout.",A clearer agenda sent in advance would be useful.
2026-05-29 13:50:06,Chloe Harper,Meridian Media Partners,chloe.harper@meridianmedia.com,Agency,fy26-nca-frontiers-evt-vic-consortium-omnicom-day2-client,003MHeas4PS2i1k,001gY64laUoaK4z,Frontiers 2026,914987,4,4,4,5,4,5,,,
2026-05-29 13:47:01,Nina Carter,Lumen Media Group,nina.carter@lumenmedia.com,Agency,fy26-nca-frontiers-evt-vic-indies-client,003HtIuEbP84JNY,001t2ic2OcU2kXj,Frontiers 2026,914732,4,5,5,5,5,5,,,
2026-05-29 12:48:10,Sophie Frost,Vantage Media Co,sophie.frost@vantagemedia.com,Agency,fy26-nca-frontiers-evt-sa-indies-client,003vCURFHuiy0S6,001r8UgKnMpn2p3,Frontiers 2026,914770,5,4,4,,5,4,,"Well organised event, the facilitators kept the energy high throughout.",More real-world case studies from brands we recognise.
2026-05-29 12:44:15,Cody Chase,Pinnacle Media Partners,cody.chase@pinnaclemedia.com,Agency,fy26-nca-frontiers-evt-vic-indies-client,0039vZ28wZBlT6T,001Ss6xWt0K9qTF,Frontiers 2026,914638,4,5,,5,4,3,,,
2026-05-29 12:42:37,Lucas Abbott,Pinnacle Media Partners,lucas.abbott@pinnaclemedia.com,Agency,fy26-nca-frontiers-evt-vic-consortium-omnicom-day2-client,003WPZDeEA6Xv9l,001L4fmkaEUZ5QJ,Frontiers 2026,914981,5,4,4,5,3,4,,,A clearer agenda sent in advance would be useful.
2026-05-29 11:37:16,Tara Lawson,Apex Media Group,tara.lawson@apexmedia.com,Agency,fy26-nca-frontiers-evt-nsw-indies-client,003YLLGcnr4YGWl,001DkGS7KVjwjGq,Frontiers 2026,914564,4,4,4,5,4,5,Receive a copy of the keynote deck and research whitepaper,The networking was excellent and the format kept everyone involved.,
2026-05-29 11:25:43,Leo Carter,Lumen Media Group,leo.carter@lumenmedia.com,Agency,fy26-nca-frontiers-evt-nsw-indies-client,003qIzWuMyPGQdM,001fHMCTO5xsxJn,Frontiers 2026,914813,3,4,5,5,4,4,Receive a copy of the keynote deck and research whitepaper,,
2026-05-29 10:13:33,Olivia Chase,Harvest Grocers,olivia.chase@harvest.com.au,Client,fy26-nca-frontiers-evt-nsw-consortium-publicis-client,003L5B6w8EQp4BA,0013rGZ8figSkXP,Frontiers 2026,914939,5,3,5,,4,5,Schedule a follow-up workshop to apply today's insights,"Well organised event, the facilitators kept the energy high throughout.",
2026-05-29 09:25:17,Mia Young,Glasshouse Beauty,mia.young@glasshouse.com.au,Client,fy26-nca-frontiers-evt-nsw-consortium-omnicom-day2-client,003BdQTelN9OVC0,001hS98ygPb7GT1,Frontiers 2026,914666,5,5,5,4,4,5,Receive a copy of the keynote deck and research whitepaper,,Slightly smaller breakout groups would make the workshop easier.
2026-05-29 09:08:47,Leo Turner,Vantage Media Co,leo.turner@vantagemedia.com,Agency,fy26-nca-frontiers-evt-nsw-indies-client,003jtFZ13uSprH6,001vJWs4V5kC948,Frontiers 2026,914669,5,5,4,4,4,5,,,
2026-05-28 20:28:02,Ethan Grant,Brightwave Agency,ethan.grant@brightwavemedia.com,Agency,fy26-nca-frontiers-evt-nsw-consortium-publicis-client,003YAstNiNowxqZ,001aQcPC8Tg3FuT,Frontiers 2026,914717,4,5,4,5,4,4,,Including clients in the day added real value to the conversations.,
2026-05-28 20:27:50,Ava Walsh,Solstice Media,ava.walsh@solsticemedia.com,Agency,fy26-nca-frontiers-evt-nsw-consortium-wpp-client,003CEW56NfGGmaF,001D2AFHFpZMlZO,Frontiers 2026,914876,5,4,4,5,4,4,,,
2026-05-28 19:25:31,Ava Irwin,Brightwave Agency,ava.irwin@brightwavemedia.com,Agency,fy26-nca-frontiers-evt-vic-consortium-wpp-client,003UntYvkB0TNSK,0015KtEGImS4Oyp,Frontiers 2026,914904,5,4,3,,5,3,,,
2026-05-28 18:46:42,Faye Vaughn,Apex Media Group,faye.vaughn@apexmedia.com,Agency,fy26-nca-frontiers-evt-vic-consortium-publicis-client,003JdpWfzkNioty,001FmjgnwUvt6PK,Frontiers 2026,914830,4,3,4,5,4,5,,Including clients in the day added real value to the conversations.,
2026-05-28 18:14:01,Lucas Quinn,Apex Media Group,lucas.quinn@apexmedia.com,Agency,fy26-nca-frontiers-evt-nsw-indies-client,003SxTnZ4nJYGpB,0016ljk8aKYrOEZ,Frontiers 2026,914973,4,4,5,5,5,4,"No further action needed right now, thank you!",,
2026-05-28 17:46:38,Jack Bennett,Solstice Media,jack.bennett@solsticemedia.com,Agency,fy26-nca-frontiers-evt-nsw-consortium-wpp-client,003J9ir0DmfAqbG,001G5xn4ZxywOwz,Frontiers 2026,914731,4,4,5,5,4,4,,,Slightly smaller breakout groups would make the workshop easier.
2026-05-28 17:16:08,Dean Turner,Northstar Media,dean.turner@northstarmedia.com,Agency,fy26-nca-frontiers-evt-nsw-indies-client,0030GQzjXG6YU8g,0017U6Lz9hiCdJl,Frontiers 2026,914542,4,5,3,,5,3,,,
2026-05-28 16:33:24,Max Irwin,Northstar Media,max.irwin@northstarmedia.com,Agency,fy26-nca-frontiers-evt-nsw-indies-client,003sbVJs5PHZSkG,001mJ4zyiVjSaJJ,Frontiers 2026,914754,5,5,5,,3,4,,"Loved the speaker line-up, the content was practical and easy to apply.",
2026-05-28 16:23:25,Mia Jensen,Meridian Media Partners,mia.jensen@meridianmedia.com,Agency,fy26-nca-frontiers-evt-nsw-consortium-omnicom-day1-client,003tOdxumu6sKIs,001k4j2PJ71SlF6,Frontiers 2026,914883,5,4,,4,4,4,,"Loved the speaker line-up, the content was practical and easy to apply.",A clearer agenda sent in advance would be useful.
2026-05-28 13:22:55,Tara Quinn,Solstice Media,tara.quinn@solsticemedia.com,Agency,fy26-nca-frontiers-evt-nsw-indies-client,003PxhP5Kr5rCQb,001yik65kGijsCJ,Frontiers 2026,914741,5,3,,5,4,5,,"Inspiring keynote and a productive workshop, left feeling optimistic.",
2026-05-28 13:20:38,Hugo Palmer,Glasshouse Beauty,hugo.palmer@glasshouse.com.au,Client,fy26-nca-frontiers-evt-vic-indies-client,0037XAcBybHNz1Y,001KtYJdsPiRI4Q,Frontiers 2026,914869,5,5,5,4,5,3,Receive a copy of the keynote deck and research whitepaper,,
2026-05-28 13:20:18,Sophie Ortega,Ironbark Energy,sophie.ortega@ironbark.com.au,Client,fy26-nca-frontiers-evt-nsw-consortium-omnicom-day1-client,003pOvbXLZTXiU2,0010jAC6XlitFyx,Frontiers 2026,914800,4,3,3,4,5,4,,The keynote was engaging and the workshop tied the insights together really well.,
2026-05-28 12:50:31,Aria Irwin,Banksia Foods,aria.irwin@banksia.com.au,Client,fy26-nca-frontiers-evt-nsw-consortium-ipg-client,00348kF4stHxm8U,001RNzEBbNZ8rwW,Frontiers 2026,914757,5,5,3,,4,3,,"Useful takeaways for our planning, though I'd have liked more case studies.",
2026-05-28 11:51:51,Lily Vaughn,Coral Bank,lily.vaughn@coral.com.au,Client,fy26-nca-frontiers-evt-sa-indies-client,003ecQWtmjQOTee,0011GcplhT4ZNhm,Frontiers 2026,914555,4,4,4,4,5,4,"No further action needed right now, thank you!",The keynote was engaging and the workshop tied the insights together really well.,
2026-05-28 11:20:54,William Carter,Drift Telco,william.carter@drift.com.au,Client,fy26-nca-frontiers-evt-nsw-consortium-omnicom-day2-client,003jK1pgQ0LdB42,001rmI4y3XV4Xu2,Frontiers 2026,914815,4,4,5,5,3,5,,"Inspiring keynote and a productive workshop, left feeling optimistic.",
2026-05-28 11:06:15,Nina Reeves,Vantage Media Co,nina.reeves@vantagemedia.com,Agency,fy26-nca-frontiers-evt-qld-indies-client,003RSbbfBkPLImW,001B1JImYAA9AYc,Frontiers 2026,914965,5,4,5,,5,4,,,
2026-05-28 10:57:02,Olivia Dawson,Keystone Media,olivia.dawson@keystonemedia.com,Agency,fy26-nca-frontiers-evt-vic-consortium-omnicom-day2-client,003c66GrmrqtTK3,001HFF63pKlPT6f,Frontiers 2026,914535,3,5,4,,5,5,,"Inspiring keynote and a productive workshop, left feeling optimistic.",
2026-05-28 10:48:28,Jude Dunn,Echo Media Agency,jude.dunn@echomedia.com,Agency,fy26-nca-frontiers-evt-vic-consortium-omnicom-day2-client,0035ozpzkShxtWT,0010OIDBxOq7q99,Frontiers 2026,914995,5,5,5,5,2,5,,,Perhaps add a client or guest speaker to the panel for variety.
2026-05-28 10:45:09,Noah Chase,Everline Retail,noah.chase@everline.com.au,Client,fy26-nca-frontiers-evt-vic-indies-client,0031xKhyi1wQIHr,001PYWb6W6x9fcD,Frontiers 2026,914840,5,,3,5,4,4,,The networking was excellent and the format kept everyone involved.,
2026-05-28 10:44:49,Isla Dawson,Echo Media Agency,isla.dawson@echomedia.com,Agency,fy26-nca-frontiers-evt-vic-consortium-omnicom-day2-client,0036rZnEVRtJ9rb,001KxZFhDPWyNut,Frontiers 2026,914600,4,5,4,4,4,4,,"Useful takeaways for our planning, though I'd have liked more case studies.",
2026-05-28 09:15:56,Felix Hale,Summit Media Collective,felix.hale@summitmedia.com,Agency,fy26-nca-frontiers-evt-qld-indies-client,003XyMKIcJjpGFn,001sVxs7fe4l1Bz,Frontiers 2026,914531,4,4,5,,4,3,"No further action needed right now, thank you!",,
2026-05-28 09:15:45,Hugo Abbott,Banksia Foods,hugo.abbott@banksia.com.au,Client,fy26-nca-frontiers-evt-nsw-consortium-omnicom-day1-client,003Fl4l6zHoigKS,001GZWCT9l5BG9W,Frontiers 2026,914708,5,4,,5,4,5,,,
2026-05-27 20:34:03,Lily Jensen,Summit Media Collective,lily.jensen@summitmedia.com,Agency,fy26-nca-frontiers-evt-nsw-indies-client,003dtIgNnaCCZLJ,0017NQaZj6B1XjA,Frontiers 2026,914593,5,4,3,4,4,5,Receive a copy of the keynote deck and research whitepaper,,
2026-05-27 19:56:34,Cody Gibbs,Apex Media Group,cody.gibbs@apexmedia.com,Agency,fy26-nca-frontiers-evt-vic-consortium-omnicom-day2-client,003wW6TEjREwCc9,001nMayZNXxW0Ck,Frontiers 2026,914523,5,4,3,,5,4,,,
2026-05-27 19:53:09,Grace Frost,Coastline Media Partners,grace.frost@coastlinemedia.com,Agency,fy26-nca-frontiers-evt-nsw-indies-client,003hNOSqlXOwhQ0,001iKjRBBGvT9sy,Frontiers 2026,914630,3,4,5,,3,4,,"Loved the speaker line-up, the content was practical and easy to apply.",
2026-05-27 19:52:29,Cody Lawson,Coastline Media Partners,cody.lawson@coastlinemedia.com,Agency,fy26-nca-frontiers-evt-nsw-consortium-omnicom-day2-client,003YyqBLK9UqF6R,001vDqYYh2Indss,Frontiers 2026,914662,5,4,,4,5,5,Receive a copy of the keynote deck and research whitepaper,,
2026-05-27 19:47:57,Max Irwin,Meridian Media Partners,max.irwin@meridianmedia.com,Agency,fy26-nca-frontiers-evt-nsw-indies-client,003sBhPT0MPaIrl,001h9dZMl65o6mS,Frontiers 2026,914502,4,4,,,4,4,,,
2026-05-27 18:47:31,Beth Gibbs,Lumen Media Group,beth.gibbs@lumenmedia.com,Agency,fy26-nca-frontiers-evt-qld-indies-client,003VEF2jOs2BnK8,0015WikLqbc8OyU,Frontiers 2026,914655,5,5,3,5,5,4,,,Perhaps add a client or guest speaker to the panel for variety.
2026-05-27 18:30:32,Tara Carter,Keystone Media,tara.carter@keystonemedia.com,Agency,fy26-nca-frontiers-evt-nsw-consortium-wpp-client,0032D5qGBAxkXgd,001GJkfgp8GFjtk,Frontiers 2026,914540,5,4,4,5,4,5,,,
2026-05-27 16:55:07,Charlotte Palmer,Solstice Media,charlotte.palmer@solsticemedia.com,Agency,fy26-nca-frontiers-evt-vic-indies-client,003CyakJiiAhYSw,001VHQ68ZMOqW3h,Frontiers 2026,914901,5,5,5,4,3,5,Receive a copy of the keynote deck and research whitepaper,"Well organised event, the facilitators kept the energy high throughout.",
2026-05-27 16:26:56,Leo Quinn,Echo Media Agency,leo.quinn@echomedia.com,Agency,fy26-nca-frontiers-evt-nsw-consortium-publicis-client,003ebPZIxt3zfWS,0017t8PtGxzCkYM,Frontiers 2026,914573,4,5,5,,4,4,,,Better AV in the panel room - hard to hear at the back.
2026-05-27 16:05:20,Owen Keller,Lumen Media Group,owen.keller@lumenmedia.com,Agency,fy26-nca-frontiers-evt-wa-indies-client,003sM3dhz8XisUI,001v71ECPfJajz0,Frontiers 2026,914621,4,5,4,4,4,4,,,
2026-05-27 15:22:55,Reid Sutton,Pinnacle Media Partners,reid.sutton@pinnaclemedia.com,Agency,fy26-nca-frontiers-evt-nsw-consortium-wpp-client,003zn7MhAePrSzN,001QDDHFz1CXGRI,Frontiers 2026,914677,5,4,3,4,4,4,,Great atmosphere and the sessions felt relevant to our briefs this year.,
2026-05-27 14:59:20,Leo Quinn,Lumen Media Group,leo.quinn@lumenmedia.com,Agency,fy26-nca-frontiers-evt-nsw-consortium-omnicom-day2-client,003pwiEJwNqrIp5,001EyyD9h5j5wWd,Frontiers 2026,914927,5,5,3,5,3,4,Receive a copy of the keynote deck and research whitepaper,The keynote was engaging and the workshop tied the insights together really well.,
2026-05-27 14:54:43,Chloe Lawson,Echo Media Agency,chloe.lawson@echomedia.com,Agency,fy26-nca-frontiers-evt-vic-consortium-omnicom-day2-client,003r6MEJT6saIjV,00112kO3imnr9fx,Frontiers 2026,914641,5,4,4,,3,5,,,
2026-05-27 14:10:46,Ava Gibbs,Ironbark Energy,ava.gibbs@ironbark.com.au,Client,fy26-nca-frontiers-evt-nsw-consortium-wpp-client,0035pG6b8ukXf0g,001ofsMhZljBKA0,Frontiers 2026,914808,4,5,4,4,5,5,,,
2026-05-27 13:56:28,Reid Jensen,Glasshouse Beauty,reid.jensen@glasshouse.com.au,Client,fy26-nca-frontiers-evt-nsw-consortium-publicis-client,003hz0xYc5fKqvz,001MfIuFJvsO15i,Frontiers 2026,914607,5,5,5,,5,5,,,
2026-05-27 13:45:36,Liam Lawson,Driftwood Media,liam.lawson@driftwoodmedia.com,Agency,fy26-nca-frontiers-evt-vic-indies-client,003f2unoW9bXZS2,001zPWJLFqekfqW,Frontiers 2026,914932,4,4,,5,5,5,,The networking was excellent and the format kept everyone involved.,More time for the workshop discussion would have been great.
2026-05-27 13:44:27,Eli Turner,Lumen Media Group,eli.turner@lumenmedia.com,Agency,fy26-nca-frontiers-evt-qld-indies-client,00370J8I0avYmxx,001OQKgan8LNThK,Frontiers 2026,914930,4,5,,4,3,5,,,
2026-05-27 13:35:24,Eli Foster,Echo Media Agency,eli.foster@echomedia.com,Agency,fy26-nca-frontiers-evt-vic-consortium-wpp-client,003lYNvce894iSO,0016wNyRLUx2GlU,Frontiers 2026,914714,4,4,5,4,5,5,,The research was strong but the panel ran a little long for the room.,Slightly smaller breakout groups would make the workshop easier.
